# 370b78ff-928b-4e74-b83a-039301dda619
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-0.7560036; 0.3667702; 0.8214027; 0.7352778; -0.0246628; -0.9996958; -0.0318837; 0.0000000; -1.6921892; 0.1892491; 3.2708820; 1.0439551
-0.2672451; 0.3556025; 0.8065847; 0.7500958; -0.0220966; -0.9997558; -0.0064041; 0.4896621; -1.5976517; 0.1871175; 3.4288753; 0.9081563
0.2225973; 0.3440701; 0.7917667; 0.7649138; -0.0260889; -0.9996596; -0.0255746; 0.9802412; -1.5103586; 0.1601653; 3.5594397; 0.7221450
0.7200314; 0.3288610; 0.7769487; 0.7797318; -0.0357815; -0.9993596; -0.0878977; 1.4824605; -1.4436028; 0.1062007; 3.6595786; 0.5368744
1.2315646; 0.3066634; 0.7674391; 0.7931528; -0.0523544; -0.9986286; -0.1864477; 2.0062000; -1.4125934; 0.0214994; 3.7326378; 0.4134319
1.7607108; 0.2776308; 0.8271118; 0.7883674; -0.0488501; -0.9988061; -0.3064361; 2.5482356; -1.3838725; 0.0809407; 3.7959623; 0.3341453
2.2908453; 0.2652277; 0.8867844; 0.7835820; 0.0132554; -0.9999121; -0.4270878; 3.0692638; -1.3200770; 0.1867077; 3.8398372; 0.3380724
2.7970406; 0.3025296; 0.9464571; 0.7787967; 0.1477869; -0.9890192; -0.5288467; 3.5232552; -1.2137080; 0.3999904; 3.8749439; 0.4066946
3.2543431; 0.4226419; 1.0005185; 0.7782937; 0.3819001; -0.9242036; -0.5992083; 3.8655203; -0.9844080; 0.7932238; 3.9200891; 0.6033210
3.6393707; 0.6556248; 1.0421499; 0.7872773; 0.6416651; -0.7669849; -0.6322773; 4.1310451; -0.8338828; 0.5621517; 3.9507485; 0.6370752
3.9469961; 0.9961627; 1.0837812; 0.7962608; 0.8180045; -0.5752119; -0.6254517; 4.4262954; -0.7088905; 0.3701689; 3.9998777; 0.6446245
4.1838633; 1.4161288; 1.1254126; 0.8052443; 0.9109263; -0.4125690; -0.5771240; 4.7987477; -0.5983391; 0.2131519; 4.0632983; 0.6248845
4.3568119; 1.8870165; 1.0251453; 0.8774356; 0.9594224; -0.2819729; -0.4876564; 5.2351700; -0.5303634; 0.1399644; 4.1244455; 0.6073591
4.4729014; 2.3808559; 0.9244065; 0.9498369; 0.9837202; -0.1797071; -0.3639131; 5.7137054; -0.4635114; 0.1338246; 4.1957595; 0.5686129
4.5441671; 2.8818425; 0.8939004; 1.0071311; 0.9941872; -0.1076654; -0.2218523; 6.2184479; -0.3968071; 0.1344564; 4.2623907; 0.5389327
4.5875798; 3.3862385; 0.9621139; 1.0431906; 0.9975979; -0.0692706; -0.0812707; 6.7379423; -0.3236137; 0.1081928; 4.3348925; 0.3938339
4.6203220; 3.8908229; 1.0303273; 1.0792501; 0.9977713; -0.0667266; 0.0418891; 7.2579784; -0.2812262; 0.0650822; 4.3782385; 0.0871329
4.6590093; 4.3924954; 1.0985408; 1.1153097; 0.9960509; -0.0887836; 0.1376912; 7.7681704; -0.2468316; 0.0740034; 4.3866753; -0.3161254
4.7089563; 4.8905540; 1.1667543; 1.1513692; 0.9941270; -0.1082196; 0.2006505; 8.2695220; -0.1981002; 0.1203545; 4.3492746; -0.7550280
4.7650634; 5.3865079; 1.2266050; 1.1807228; 0.9933733; -0.1149327; 0.2282221; 8.7680658; -0.1323067; 0.1428845; 4.2610445; -1.1636194
4.8218419; 5.8819484; 1.1934800; 1.1355211; 0.9938364; -0.1108569; 0.2197678; 9.2678507; -0.0563479; 0.1607817; 4.1231076; -1.4979382
4.8738035; 6.3784672; 1.1603550; 1.0903195; 0.9954332; -0.0954610; 0.1758099; 9.7721698; 0.0270303; 0.1730550; 3.9403744; -1.7360506
4.9154593; 6.8776556; 1.1272300; 1.0451178; 0.9976134; -0.0690474; 0.0976122; 10.2828439; 0.1155291; 0.1815133; 3.7192850; -1.8573849
4.9413209; 7.3811052; 1.1150593; 1.0109935; 0.9994938; -0.0318127; -0.0125575; 10.8004977; 0.2062580; 0.1827795; 3.4675372; -1.8402043
4.9458998; 7.8904076; 1.1824904; 1.0189503; 0.9998842; 0.0152182; -0.1495785; 11.3243157; 0.2911752; 0.1566147; 3.1972702; -1.7542015
4.9236937; 8.4071076; 1.2499216; 1.0269071; 0.9973788; 0.0723572; -0.3029182; 11.8513383; 0.3810515; 0.1529190; 2.8626772; -1.4486341
4.8659785; 8.9217115; 1.3173527; 1.0348639; 0.9873818; 0.1583578; -0.4596819; 12.3604158; 0.4879248; 0.2973877; 2.6086231; -1.1926402
4.7566645; 9.3994906; 1.3847838; 1.0428207; 0.9541159; 0.2994375; -0.6089838; 12.7988398; 0.6826045; 0.8627786; 2.4244881; -1.1147363
4.5738602; 9.8044712; 1.4522150; 1.0507776; 0.8357307; 0.5491395; -0.7405139; 13.0863318; 1.1370594; 3.2261797; 2.2853100; -0.9563923
4.2769546; 10.1095581; 1.4560366; 1.0643663; 0.5645354; 0.8254089; -0.8433981; 13.2432541; 1.6155593; -0.9450842; 2.2121479; -0.1468141
3.8464965; 10.2941651; 1.4413450; 1.0795942; 0.2453679; 0.9694300; -0.9101201; 13.4209686; 1.5592953; -0.2937364; 2.2055145; 0.0165780
3.3519246; 10.3526736; 1.4266535; 1.0948220; -0.0118822; 0.9999294; -0.9398220; 13.6811108; 1.6082872; 0.5903915; 2.2213405; 0.3915478
2.8670586; 10.2842468; 1.4095905; 1.1063542; -0.2676976; 0.9635030; -0.9340629; 13.9289525; 1.7621802; 0.4013312; 2.2817229; 0.7426108
2.4167455; 10.0931943; 1.3459922; 1.0453653; -0.5041866; 0.8635947; -0.8903653; 14.1876330; 1.8622343; 0.5400321; 2.3462287; 1.0302788
2.0205291; 9.7910244; 1.2823940; 0.9843763; -0.6967063; 0.7173565; -0.8022780; 14.4939358; 1.9765844; 0.2707819; 2.4807832; 1.4294824
1.7129610; 9.4083496; 1.2187957; 0.9233873; -0.8554670; 0.5178573; -0.6632670; 14.8290348; 2.1169108; 0.4612960; 2.7212707; 1.8595333
1.5235454; 8.9764632; 1.1538310; 0.8877687; -0.9589331; 0.2836323; -0.4709139; 15.2071727; 2.2853867; 0.6010592; 2.9233587; 2.0550261
1.4386782; 8.5102674; 1.0845079; 0.9330693; -0.9962262; 0.0867945; -0.2305355; 15.6754564; 2.5220137; 0.3757904; 3.2747962; 2.2726617
1.4279781; 8.0193281; 1.0151849; 0.9783699; -0.9996544; -0.0262872; 0.0439763; 16.2269183; 2.6576868; 0.1202330; 3.6834981; 2.3794829
1.4500134; 7.5141223; 0.9458619; 1.0236705; -0.9989352; -0.0461347; 0.3274920; 16.8080841; 2.6844922; -0.0104475; 4.0030710; 2.4589753
1.4599735; 7.0054074; 0.9821656; 1.0929351; -0.9997734; 0.0212857; 0.5853716; 17.3495083; 2.6269929; -0.2143742; 4.3557027; 2.1873593
1.4130473; 6.5039409; 1.0274255; 1.1642317; -0.9832825; 0.1820864; 0.7862696; 17.7886130; 2.5213429; -0.3285193; 4.5550334; 1.9388668
1.2689366; 6.0217265; 1.0726853; 1.2355283; -0.9218828; 0.3874688; 0.9176853; 18.1349589; 2.4285927; -0.0678024; 4.7142517; 1.4515465
1.0251005; 5.5811959; 1.1568232; 1.3409847; -0.8179798; 0.5752469; 0.9851650; 18.4417455; 2.3892801; -0.1827208; 4.8059822; 1.4437102
