#2023_04_21__22_02_54
time;s_coord;start_node;obj_veh;obj_zone;nodes_list;s_list;pos_list;vel_list;a_list;psi_list;kappa_list;traj_id;clip_pos;action_id_prev;traj_id_prev;const_path_seg
1682122292.2244961;0.0016017035501098228;[2, 2];[];[];{"straight": [[[null, null], [2, 2], [3, 2], [4, 2], [5, 1]]]};{"straight": [[0.0, 0.2448807703802447, 0.48979696424563723, 0.7346588317649048, 0.9794655070554539, 1.1468781078407029, 1.3142792710492806, 1.4816743088166653, 1.6562492150479557]]};{"straight": [[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616], [0.3902872019411233, 0.38058238813678147], [0.5569235308655228, 0.3967276591637364], [0.72317651155255, 0.41670241031292], [0.896167994604998, 0.4402830014841327]]]};{"straight": [[0.0, 1.564866672851859, 2.201167709876423, 2.6687642862539467, 3.0363841970914134, 3.188476634056387, 3.3472802515846087, 3.5157051826851315, 3.703944860848024]]};{"straight": [[5.0, 4.892146054901555, 4.649894145732465, 4.2836376382970665, 2.8276075072495424, 3.1000436819891535, 3.4526048810270926, 3.892382444825291, 4.067699475618209]]};{"straight": [[-1.593641468358718, -1.5865108489836048, -1.5724789689599887, -1.5515276701418295, -1.5236441426021385, -1.488419200076843, -1.4613591636212575, -1.4424397480330682, -1.4288316139506756]]};{"straight": [[0.015043943279126979, 0.04319345222002088, 0.0714091928794934, 0.09973016069401545, 0.2347768885172976, 0.18603615922212804, 0.13725743903413404, 0.08876174452739298, 0.06710585839731975]]};{"straight": 10};[-0.7560036, 0.3667702];"straight";0;[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318193996, 0.36963599440616]]
1682122292.349108;0.01408275527745835;[2, 2];[];["no update since", "1682122292.2244961"];{"straight": [[[null, null], [2, 2], [3, 2], [4, 2], [5, 1]]]};{"straight": [[0.0, 0.2448807703802447, 0.48979696424563723, 0.7346588317649048, 0.9794655070554539, 1.1468781078407029, 1.3142792710492806, 1.4816743088166653, 1.6562492150479557]]};{"straight": [[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616], [0.3902872019411233, 0.38058238813678147], [0.5569235308655228, 0.3967276591637364], [0.72317651155255, 0.41670241031292], [0.896167994604998, 0.4402830014841327]]]};{"straight": [[0.0, 1.564866672851859, 2.201167709876423, 2.6687642862539467, 3.0363841970914134, 3.188476634056387, 3.3472802515846087, 3.5157051826851315, 3.703944860848024]]};{"straight": [[5.0, 4.892146054901555, 4.649894145732465, 4.2836376382970665, 2.8276075072495424, 3.1000436819891535, 3.4526048810270926, 3.892382444825291, 4.067699475618209]]};{"straight": [[-1.593641468358718, -1.5865108489836048, -1.5724789689599887, -1.5515276701418295, -1.5236441426021385, -1.488419200076843, -1.4613591636212575, -1.4424397480330682, -1.4288316139506756]]};{"straight": [[0.015043943279126979, 0.04319345222002088, 0.0714091928794934, 0.09973016069401545, 0.2347768885172976, 0.18603615922212804, 0.13725743903413404, 0.08876174452739298, 0.06710585839731975]]};{"straight": 20};[-0.7435060636070008, 0.36652203854920484];"straight";0;[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616]]
1682122292.430824;0.023157465624457883;[2, 2];[];["no update since", "1682122292.2244961"];{"straight": [[[null, null], [2, 2], [3, 2], [4, 2], [5, 1]]]};{"straight": [[0.0, 0.2448807703802447, 0.48979696424563723, 0.7346588317649048, 0.9794655070554539, 1.1468781078407029, 1.3142792710492806, 1.4816743088166653, 1.6562492150479557]]};{"straight": [[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616], [0.3902872019411233, 0.38058238813678147], [0.5569235308655228, 0.3967276591637364], [0.72317651155255, 0.41670241031292], [0.896167994604998, 0.4402830014841327]]]};{"straight": [[0.0, 1.564866672851859, 2.201167709876423, 2.6687642862539467, 3.0363841970914134, 3.188476634056387, 3.3472802515846087, 3.5157051826851315, 3.703944860848024]]};{"straight": [[5.0, 4.892146054901555, 4.649894145732465, 4.2836376382970665, 2.8276075072495424, 3.1000436819891535, 3.4526048810270926, 3.892382444825291, 4.067699475618209]]};{"straight": [[-1.593641468358718, -1.5865108489836048, -1.5724789689599887, -1.5515276701418295, -1.5236441426021385, -1.488419200076843, -1.4613591636212575, -1.4424397480330682, -1.4288316139506756]]};{"straight": [[0.015043943279126979, 0.04319345222002088, 0.0714091928794934, 0.09973016069401545, 0.2347768885172976, 0.18603615922212804, 0.13725743903413404, 0.08876174452739298, 0.06710585839731975]]};{"straight": 30};[-0.7344193676061305, 0.3663416055749289];"straight";0;[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616]]
1682122292.4891837;0.032991174844717;[2, 2];[];["no update since", "1682122292.2244961"];{"straight": [[[null, null], [2, 2], [3, 2], [4, 2], [5, 1]]]};{"straight": [[0.0, 0.2448807703802447, 0.48979696424563723, 0.7346588317649048, 0.9794655070554539, 1.1468781078407029, 1.3142792710492806, 1.4816743088166653, 1.6562492150479557]]};{"straight": [[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616], [0.3902872019411233, 0.38058238813678147], [0.5569235308655228, 0.3967276591637364], [0.72317651155255, 0.41670241031292], [0.896167994604998, 0.4402830014841327]]]};{"straight": [[0.0, 1.564866672851859, 2.201167709876423, 2.6687642862539467, 3.0363841970914134, 3.188476634056387, 3.3472802515846087, 3.5157051826851315, 3.703944860848024]]};{"straight": [[5.0, 4.892146054901555, 4.649894145732465, 4.2836376382970665, 2.8276075072495424, 3.1000436819891535, 3.4526048810270926, 3.892382444825291, 4.067699475618209]]};{"straight": [[-1.593641468358718, -1.5865108489836048, -1.5724789689599887, -1.5515276701418295, -1.5236441426021385, -1.488419200076843, -1.4613591636212575, -1.4424397480330682, -1.4288316139506756]]};{"straight": [[0.015043943279126979, 0.04319345222002088, 0.0714091928794934, 0.09973016069401545, 0.2347768885172976, 0.18603615922212804, 0.13725743903413404, 0.08876174452739298, 0.06710585839731975]]};{"straight": 40};[-0.7245726702649866, 0.36614608138353];"straight";0;[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616]]
1682122292.565881;0.05286431675531682;[2, 2];[];["no update since", "1682122292.2244961"];{"straight": [[[null, null], [2, 2], [3, 2], [4, 2], [5, 1]]]};{"straight": [[0.0, 0.2448807703802447, 0.48979696424563723, 0.7346588317649048, 0.9794655070554539, 1.1468781078407029, 1.3142792710492806, 1.4816743088166653, 1.6562492150479557]]};{"straight": [[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616], [0.3902872019411233, 0.38058238813678147], [0.5569235308655228, 0.3967276591637364], [0.72317651155255, 0.41670241031292], [0.896167994604998, 0.4402830014841327]]]};{"straight": [[0.0, 1.564866672851859, 2.201167709876423, 2.6687642862539467, 3.0363841970914134, 3.188476634056387, 3.3472802515846087, 3.5157051826851315, 3.703944860848024]]};{"straight": [[5.0, 4.892146054901555, 4.649894145732465, 4.2836376382970665, 2.8276075072495424, 3.1000436819891535, 3.4526048810270926, 3.892382444825291, 4.067699475618209]]};{"straight": [[-1.593641468358718, -1.5865108489836048, -1.5724789689599887, -1.5515276701418295, -1.5236441426021385, -1.488419200076843, -1.4613591636212575, -1.4424397480330682, -1.4288316139506756]]};{"straight": [[0.015043943279126979, 0.04319345222002088, 0.0714091928794934, 0.09973016069401545, 0.2347768885172976, 0.18603615922212804, 0.13725743903413404, 0.08876174452739298, 0.06710585839731975]]};{"straight": 50};[-0.7046732803981263, 0.3657509425894501];"straight";0;[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616]]
1682122292.6167772;0.07254146951533606;[2, 2];[];["no update since", "1682122292.2244961"];{"straight": [[[null, null], [2, 2], [3, 2], [4, 2], [5, 1]]]};{"straight": [[0.0, 0.2448807703802447, 0.48979696424563723, 0.7346588317649048, 0.9794655070554539, 1.1468781078407029, 1.3142792710492806, 1.4816743088166653, 1.6562492150479557]]};{"straight": [[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616], [0.3902872019411233, 0.38058238813678147], [0.5569235308655228, 0.3967276591637364], [0.72317651155255, 0.41670241031292], [0.896167994604998, 0.4402830014841327]]]};{"straight": [[0.0, 1.564866672851859, 2.201167709876423, 2.6687642862539467, 3.0363841970914134, 3.188476634056387, 3.3472802515846087, 3.5157051826851315, 3.703944860848024]]};{"straight": [[5.0, 4.892146054901555, 4.649894145732465, 4.2836376382970665, 2.8276075072495424, 3.1000436819891535, 3.4526048810270926, 3.892382444825291, 4.067699475618209]]};{"straight": [[-1.593641468358718, -1.5865108489836048, -1.5724789689599887, -1.5515276701418295, -1.5236441426021385, -1.488419200076843, -1.4613591636212575, -1.4424397480330682, -1.4288316139506756]]};{"straight": [[0.015043943279126979, 0.04319345222002088, 0.0714091928794934, 0.09973016069401545, 0.2347768885172976, 0.18603615922212804, 0.13725743903413404, 0.08876174452739298, 0.06710585839731975]]};{"straight": 60};[-0.6849701385394883, 0.3653597006586323];"straight";0;[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616]]
1682122292.6916912;0.11598789222267114;[2, 2];[];["no update since", "1682122292.2244961"];{"straight": [[[null, null], [2, 2], [3, 2], [4, 2], [5, 1]]]};{"straight": [[0.0, 0.2448807703802447, 0.48979696424563723, 0.7346588317649048, 0.9794655070554539, 1.1468781078407029, 1.3142792710492806, 1.4816743088166653, 1.6562492150479557]]};{"straight": [[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616], [0.3902872019411233, 0.38058238813678147], [0.5569235308655228, 0.3967276591637364], [0.72317651155255, 0.41670241031292], [0.896167994604998, 0.4402830014841327]]]};{"straight": [[0.0, 1.564866672851859, 2.201167709876423, 2.6687642862539467, 3.0363841970914134, 3.188476634056387, 3.3472802515846087, 3.5157051826851315, 3.703944860848024]]};{"straight": [[5.0, 4.892146054901555, 4.649894145732465, 4.2836376382970665, 2.8276075072495424, 3.1000436819891535, 3.4526048810270926, 3.892382444825291, 4.067699475618209]]};{"straight": [[-1.593641468358718, -1.5865108489836048, -1.5724789689599887, -1.5515276701418295, -1.5236441426021385, -1.488419200076843, -1.4613591636212575, -1.4424397480330682, -1.4288316139506756]]};{"straight": [[0.015043943279126979, 0.04319345222002088, 0.0714091928794934, 0.09973016069401545, 0.2347768885172976, 0.18603615922212804, 0.13725743903413404, 0.08876174452739298, 0.06710585839731975]]};{"straight": 70};[-0.6414663328673442, 0.36449585300168463];"straight";0;[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616]]
1682122292.7425113;0.1598950278018956;[2, 2];[];["no update since", "1682122292.2244961"];{"straight": [[[null, null], [2, 2], [3, 2], [4, 2], [5, 1]]]};{"straight": [[0.0, 0.2448807703802447, 0.48979696424563723, 0.7346588317649048, 0.9794655070554539, 1.1468781078407029, 1.3142792710492806, 1.4816743088166653, 1.6562492150479557]]};{"straight": [[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616], [0.3902872019411233, 0.38058238813678147], [0.5569235308655228, 0.3967276591637364], [0.72317651155255, 0.41670241031292], [0.896167994604998, 0.4402830014841327]]]};{"straight": [[0.0, 1.564866672851859, 2.201167709876423, 2.6687642862539467, 3.0363841970914134, 3.188476634056387, 3.3472802515846087, 3.5157051826851315, 3.703944860848024]]};{"straight": [[5.0, 4.892146054901555, 4.649894145732465, 4.2836376382970665, 2.8276075072495424, 3.1000436819891535, 3.4526048810270926, 3.892382444825291, 4.067699475618209]]};{"straight": [[-1.593641468358718, -1.5865108489836048, -1.5724789689599887, -1.5515276701418295, -1.5236441426021385, -1.488419200076843, -1.4613591636212575, -1.4424397480330682, -1.4288316139506756]]};{"straight": [[0.015043943279126979, 0.04319345222002088, 0.0714091928794934, 0.09973016069401545, 0.2347768885172976, 0.18603615922212804, 0.13725743903413404, 0.08876174452739298, 0.06710585839731975]]};{"straight": 80};[-0.5975012058250991, 0.36362284496489194];"straight";0;[[-0.7560036, 0.3667702], [-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616]]
1682122292.8176475;0.256716672509883;[2, 2];[];["no update since", "1682122292.2244961"];{"straight": [[[null, null], [2, 2], [3, 2], [4, 2], [5, 1]]]};{"straight": [[0.0, 0.24491619386539257, 0.4897780613846601, 0.7345847366752092, 0.9019973374604583, 1.0693985006690359, 1.2367935384364206, 1.411368444667711, 1.5859462800493604]]};{"straight": [[[-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616], [0.3902872019411233, 0.38058238813678147], [0.5569235308655228, 0.3967276591637364], [0.72317651155255, 0.41670241031292], [0.896167994604998, 0.4402830014841327], [1.0688498159312396, 0.4658852777282226]]]};{"straight": [[1.564866672851859, 2.201167709876423, 2.6687642862539467, 3.0363841970914134, 3.188476634056387, 3.3472802515846087, 3.5157051826851315, 3.703944860848024, 3.890946911880896]]};{"straight": [[4.892146054901555, 4.649894145732465, 4.283637638297067, 2.8276075072495406, 3.1000436819891557, 3.4526048810270926, 3.892382444825291, 4.067699475618209, 4.2999513724856095]]};{"straight": [[-1.5865108489836048, -1.5724789689599887, -1.5515276701418295, -1.5236441426021385, -1.488419200076843, -1.4613591636212575, -1.4424397480330682, -1.4288316139506756, -1.4190119619518133]]};{"straight": [[0.04319345222002088, 0.0714091928794934, 0.09973016069401545, 0.2347768885172976, 0.18603615922212804, 0.13725743903413404, 0.08876174452739298, 0.06710585839731975, 0.04538997576902055]]};{"straight": 90};[-0.500543252097198, 0.36181003248036164];"straight";0;[[-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616]]
1682122292.8684304;0.343252395659232;[2, 2];[];["no update since", "1682122292.2244961"];{"straight": [[[null, null], [2, 2], [3, 2], [4, 2], [5, 1]]]};{"straight": [[0.0, 0.24491619386539257, 0.4897780613846601, 0.7345847366752092, 0.9019973374604583, 1.0693985006690359, 1.2367935384364206, 1.411368444667711, 1.5859462800493604]]};{"straight": [[[-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616], [0.3902872019411233, 0.38058238813678147], [0.5569235308655228, 0.3967276591637364], [0.72317651155255, 0.41670241031292], [0.896167994604998, 0.4402830014841327], [1.0688498159312396, 0.4658852777282226]]]};{"straight": [[1.564866672851859, 2.201167709876423, 2.6687642862539467, 3.0363841970914134, 3.188476634056387, 3.3472802515846087, 3.5157051826851315, 3.703944860848024, 3.890946911880896]]};{"straight": [[4.892146054901555, 4.649894145732465, 4.283637638297067, 2.8276075072495406, 3.1000436819891557, 3.4526048810270926, 3.892382444825291, 4.067699475618209, 4.2999513724856095]]};{"straight": [[-1.5865108489836048, -1.5724789689599887, -1.5515276701418295, -1.5236441426021385, -1.488419200076843, -1.4613591636212575, -1.4424397480330682, -1.4288316139506756, -1.4190119619518133]]};{"straight": [[0.04319345222002088, 0.0714091928794934, 0.09973016069401545, 0.2347768885172976, 0.18603615922212804, 0.13725743903413404, 0.08876174452739298, 0.06710585839731975, 0.04538997576902055]]};{"straight": 100};[-0.41382445445800997, 0.36100574078827363];"straight";0;[[-0.5111710928181771, 0.36190860262004787], [-0.2662654321486121, 0.3596371736613414], [-0.021411827109256116, 0.3616487064735043], [0.22326451318194, 0.36963599440616]]
